trait,blue,GID
DAYSMT,146.8156353,GID7398019
DAYSMT,144.6350654,GID7398020
DAYSMT,147.1855809,GID7398023
DAYSMT,149.8009763,GID7398092
DAYSMT,149.9573805,GID7398119
DAYSMT,146.3415927,GID7398192
DAYSMT,147.7628792,GID7398197
DAYSMT,147.3593386,GID7398211
DAYSMT,149.5219759,GID7398212
DAYSMT,148.0945366,GID7398217
DAYSMT,150.0502352,GID7398225
DAYSMT,146.8727055,GID7398235
DAYSMT,147.8674889,GID7398238
DAYSMT,148.3674889,GID7398243
DAYSMT,147.0756545,GID7398245
DAYSMT,149.784786,GID7398254
DAYSMT,145.7568503,GID7398266
DAYSMT,148.9385422,GID7398274
DAYSMT,152.8181525,GID7398289
DAYSMT,148.1286818,GID7398307
DAYSMT,148.9981607,GID7398322
DAYSMT,146.9124473,GID7398326
DAYSMT,148.9042449,GID7398344
DAYSMT,149.9042449,GID7398352
DAYSMT,149.5214633,GID7398376
DAYSMT,147.210987,GID7398377
DAYSMT,148.3719793,GID7398400
DAYSMT,149.4001785,GID7398412
DAYSMT,147.0598957,GID7398427
DAYSMT,148.5002772,GID7398428
DAYSMT,146.1904168,GID7398431
DAYSMT,149.3660867,GID7398433
DAYSMT,148.1569551,GID7398434
DAYSMT,147.8660867,GID7398435
DAYSMT,148.4800421,GID7398438
DAYSMT,149.2916043,GID7398439
DAYSMT,148.9000695,GID7398443
DAYSMT,150.9774139,GID7398451
DAYSMT,148.1668846,GID7398452
DAYSMT,148.9767979,GID7398455
DAYSMT,144.83328,GID7398462
DAYSMT,148.0919696,GID7398463
DAYSMT,147.0771572,GID7398471
DAYSMT,148.9638011,GID7398485
DAYSMT,147.4631851,GID7398529
DAYSMT,147.5256156,GID7398640
DAYSMT,153.1381803,GID7398685
DAYSMT,146.0603631,GID7398700
DAYSMT,146.4190055,GID7398701
DAYSMT,151.4902283,GID7398758
DAYSMT,146.1100376,GID7398813
DAYSMT,148.5710616,GID7398846
DAYSMT,147.3944427,GID7398872
DAYSMT,148.5991211,GID7398884
DAYSMT,150.4158331,GID7398894
DAYSMT,146.6506216,GID7398895
DAYSMT,148.5470983,GID7398903
DAYSMT,147.9485126,GID7398909
DAYSMT,151.7402406,GID7398915
DAYSMT,148.5898703,GID7398920
DAYSMT,144.4589861,GID7398925
DAYSMT,143.132638,GID7398926
DAYSMT,150.4589861,GID7398929
DAYSMT,147.26583,GID7398953
DAYSMT,147.8864192,GID7398957
DAYSMT,148.012016,GID7398976
DAYSMT,147.0187496,GID7399011
DAYSMT,147.3858846,GID7399013
DAYSMT,147.9476822,GID7399014
DAYSMT,147.2819291,GID7399072
DAYSMT,148.001104,GID7399118
DAYSMT,146.4943543,GID7399121
DAYSMT,148.7580688,GID7399179
DAYSMT,150.7209743,GID7399180
DAYSMT,150.9141166,GID7399181
DAYSMT,145.0985283,GID7399267
DAYSMT,148.7637463,GID7399277
DAYSMT,149.2189222,GID7399289
DAYSMT,148.9627432,GID7399290
DAYSMT,145.6155018,GID7399321
DAYSMT,144.2890913,GID7399345
DAYSMT,146.1721361,GID7399399
DAYSMT,143.909755,GID7399403
DAYSMT,142.8603735,GID7399413
DAYSMT,148.9702462,GID7399442
DAYSMT,148.9562197,GID7399445
DAYSMT,148.5860781,GID7399457
DAYSMT,146.2695816,GID7399469
DAYSMT,150.4214244,GID7399471
DAYSMT,148.7430704,GID7399473
DAYSMT,148.1599137,GID7399478
DAYSMT,147.7499564,GID7399485
DAYSMT,150.0090136,GID7399491
DAYSMT,149.9070382,GID7399496
DAYSMT,150.4070382,GID7399497
DAYSMT,149.8982892,GID7399499
DAYSMT,147.1844134,GID7399537
DAYSMT,148.7192087,GID7399539
DAYSMT,147.0977398,GID7399541
DAYSMT,147.1471213,GID7399545
DAYSMT,148.0977398,GID7399548
DAYSMT,149.0987599,GID7399578
DAYSMT,148.9749787,GID7399583
DAYSMT,146.4843555,GID7399601
DAYSMT,146.9097445,GID7399607
DAYSMT,145.2293404,GID7399609
DAYSMT,147.9608317,GID7399610
DAYSMT,148.2319598,GID7399612
DAYSMT,149.5484562,GID7399613
DAYSMT,151.0236348,GID7399615
DAYSMT,150.4797802,GID7399616
DAYSMT,151.5286019,GID7399619
DAYSMT,148.8253179,GID7399621
DAYSMT,149.8279374,GID7399623
DAYSMT,146.6196123,GID7399627
DAYSMT,145.9353105,GID7399631
DAYSMT,147.4322491,GID7399636
DAYSMT,148.037286,GID7399637
DAYSMT,147.245611,GID7399638
DAYSMT,148.0617425,GID7399639
DAYSMT,149.0678702,GID7399640
DAYSMT,147.6245456,GID7399641
DAYSMT,149.0184887,GID7399643
DAYSMT,149.5747561,GID7399644
DAYSMT,149.2474159,GID7399645
DAYSMT,151.2474159,GID7399651
DAYSMT,149.2574685,GID7399653
DAYSMT,149.3459586,GID7399712
DAYSMT,150.476734,GID7399739
DAYSMT,147.8642658,GID7399789
DAYSMT,147.5321934,GID7399816
DAYSMT,147.635571,GID7399819
DAYSMT,148.135571,GID7399821
DAYSMT,148.3676986,GID7399823
DAYSMT,150.4776095,GID7399829
DAYSMT,150.4074934,GID7399830
DAYSMT,150.4074934,GID7399832
DAYSMT,149.6798359,GID7399834
DAYSMT,150.527046,GID7399841
DAYSMT,146.0114829,GID7399875
DAYSMT,147.300917,GID7399878
DAYSMT,147.4421314,GID7399900
DAYSMT,142.0979186,GID7399902
DAYSMT,147.5382309,GID7399908
DAYSMT,143.4991516,GID7399946
DAYSMT,144.0619643,GID7399947
DAYSMT,144.7380168,GID7399950
DAYSMT,145.2466297,GID7399956
DAYSMT,151.495903,GID7399966
DAYSMT,149.1373798,GID7400062
DAYSMT,146.1318693,GID7400069
DAYSMT,145.3526305,GID7400073
DAYSMT,151.4213035,GID7400087
DAYSMT,148.8067543,GID7400088
DAYSMT,151.8786726,GID7400090
DAYSMT,147.9911408,GID7400091
DAYSMT,148.2158301,GID7400168
DAYSMT,145.3852045,GID7400194
DAYSMT,147.584127,GID7400204
DAYSMT,149.0443322,GID7400209
DAYSMT,145.7642577,GID7400224
DAYSMT,152.193426,GID7400239
DAYSMT,151.1280802,GID7400251
DAYSMT,149.4172772,GID7400265
DAYSMT,147.4515302,GID7400267
DAYSMT,147.5378849,GID7400276
DAYSMT,146.7715326,GID7400278
DAYSMT,148.6734675,GID7400279
DAYSMT,145.2761153,GID7400281
DAYSMT,149.4870808,GID7400282
DAYSMT,147.1267258,GID7400293
DAYSMT,152.0092313,GID7400294
DAYSMT,152.3297332,GID7400298
DAYSMT,151.4871876,GID7400299
DAYSMT,149.4871876,GID7400301
DAYSMT,150.275638,GID7400305
DAYSMT,147.9966359,GID7400306
DAYSMT,147.4966359,GID7400308
DAYSMT,149.8250825,GID7400311
DAYSMT,145.5228606,GID7400313
DAYSMT,145.8362015,GID7400315
DAYSMT,146.974472,GID7400316
DAYSMT,148.8362015,GID7400318
DAYSMT,147.4192943,GID7400331
DAYSMT,149.0848758,GID7400383
DAYSMT,147.0266443,GID7400437
DAYSMT,148.531227,GID7400441
DAYSMT,150.057572,GID7400442
DAYSMT,145.6202235,GID7400443
DAYSMT,150.6848576,GID7400446
DAYSMT,148.0340937,GID7400448
DAYSMT,150.8231282,GID7400453
DAYSMT,147.0737957,GID7400456
DAYSMT,148.9676968,GID7400457
DAYSMT,148.1125036,GID7400458
DAYSMT,150.631222,GID7400459
DAYSMT,152.3280518,GID7400460
DAYSMT,150.8677538,GID7400466
DAYSMT,154.1863739,GID7400467
DAYSMT,152.6120607,GID7400471
DAYSMT,146.465376,GID7400478
DAYSMT,144.4256741,GID7400482
DAYSMT,146.8599142,GID7400488
DAYSMT,151.5465734,GID7400490
DAYSMT,149.2488522,GID7400491
DAYSMT,149.6329281,GID7400511
DAYSMT,146.468312,GID7400537
DAYSMT,147.8487032,GID7400551
DAYSMT,146.3227753,GID7400571
DAYSMT,144.865858,GID7400579
DAYSMT,147.864487,GID7400582
DAYSMT,147.6143426,GID7400583
DAYSMT,147.8592073,GID7400585
DAYSMT,148.8592073,GID7400595
DAYSMT,148.515734,GID7400597
DAYSMT,148.9097072,GID7400598
DAYSMT,150.1943749,GID7400602
DAYSMT,149.1943749,GID7400624
DAYSMT,147.9522735,GID7400639
DAYSMT,149.2024179,GID7400641
DAYSMT,149.0115969,GID7400644
DAYSMT,150.4351187,GID7400646
DAYSMT,148.5115969,GID7400649
DAYSMT,149.025072,GID7400651
DAYSMT,147.743977,GID7400656
DAYSMT,150.392687,GID7400670
DAYSMT,145.7008943,GID7400676
DAYSMT,148.639752,GID7400679
DAYSMT,148.3424089,GID7400696
DAYSMT,148.639752,GID7400699
DAYSMT,150.6947185,GID7400700
DAYSMT,148.7819917,GID7400701
DAYSMT,149.788423,GID7400702
DAYSMT,147.9837419,GID7400704
DAYSMT,148.2457615,GID7400717
DAYSMT,151.9840612,GID7400724
DAYSMT,150.7114441,GID7400729
DAYSMT,146.109038,GID7400738
DAYSMT,145.634966,GID7400741
DAYSMT,145.648548,GID7400743
DAYSMT,148.2163953,GID7400746
DAYSMT,151.0039215,GID7400747
DAYSMT,150.0483357,GID7400748
DAYSMT,147.6733125,GID7400749
DAYSMT,148.7128225,GID7400751
DAYSMT,149.9664215,GID7400752
DAYSMT,148.7877805,GID7400754
DAYSMT,146.0091015,GID7400757
DAYSMT,145.1598324,GID7400758
DAYSMT,147.8506535,GID7400769
DAYSMT,151.0969363,GID7400770
DAYSMT,152.1479965,GID7400771
DAYSMT,147.8453738,GID7400772
DAYSMT,147.9238372,GID7400794
DAYSMT,146.1016996,GID7400816
DAYSMT,148.6329688,GID7400819
DAYSMT,148.7845742,GID7400872
DAYSMT,151.0690272,GID7402206
DAYSMT,151.0690272,GID7402209
DAYSMT,148.4872312,GID7402211
DAYSMT,149.1533843,GID7402225
DAYSMT,148.1033484,GID7402229
DL_mean,-7.317923466,GID304660
DL_mean,-15.05752143,GID3872194
DL_mean,-22.81442779,GID4754390
DL_mean,-44.30079797,GID4755014
DL_mean,-45.13932531,GID5398434
DL_mean,-30.23157747,GID5398530
DL_mean,-18.88139062,GID6175067
DL_mean,-26.83741137,GID6332122
DL_mean,-37.74721117,GID6333158
DL_mean,-8.805411803,GID6341870
DL_mean,-29.18649583,GID6415882
DL_mean,-20.93035299,GID7045243
DL_mean,-8.583039936,GID7046099
DL_mean,1.573434051,GID7046102
DL_mean,-22.85330164,GID7046872
DL_mean,-30.76629331,GID7047125
DL_mean,-12.6475632,GID7047155
DL_mean,-5.46605927,GID7047177
DL_mean,-6.389683547,GID7171172
DL_mean,-16.15748749,GID7173521
DL_mean,-41.06775493,GID7173803
DL_mean,-17.85566899,GID7173851
DL_mean,-14.02663254,GID7174031
DL_mean,-8.087312285,GID7174115
DL_mean,-9.851431888,GID7174116
DL_mean,-18.5562816,GID7174267
DL_mean,-11.12390066,GID7174312
DL_mean,-11.44709107,GID7174319
DL_mean,-41.58379721,GID7174330
DL_mean,-49.09832325,GID7174332
DL_mean,-37.46937227,GID7174396
DL_mean,-19.42089164,GID7174418
DL_mean,-41.06036879,GID7174421
DL_mean,-20.87222728,GID7174520
DL_mean,-8.656461698,GID7174523
DL_mean,-18.43661463,GID7174524
DL_mean,-18.23303306,GID7174530
DL_mean,-26.98396822,GID7174534
DL_mean,-28.08176653,GID7174537
DL_mean,-17.26032114,GID7174540
DL_mean,-39.85360861,GID7174702
DL_mean,-19.60789834,GID7175837
DL_mean,-4.479862265,GID7176353
DL_mean,-12.57508932,GID7176616
DL_mean,-27.25429218,GID7176626
DL_mean,-11.8076079,GID7176751
DL_mean,-7.836009414,GID7176774
DL_mean,-6.592789964,GID7177031
DL_mean,3.775715171,GID7177041
DL_mean,-31.57377108,GID7177105
DL_mean,-21.49799629,GID7177375
DL_mean,-32.22969762,GID7177376
DL_mean,-28.17279899,GID7177390
DL_mean,-12.09438173,GID7177433
DL_mean,-9.496379056,GID7177664
DL_mean,-12.96033605,GID7177666
DL_mean,-21.7530018,GID7177669
DL_mean,-16.31955154,GID7177673
DL_mean,-33.72461844,GID7177875
DL_mean,-49.96192545,GID7177969
DL_mean,-19.35375739,GID7178454
DL_mean,-29.76528102,GID7178457
DL_mean,-1.24564969,GID7178542
DL_mean,-13.10028405,GID7178769
DL_mean,-11.8150498,GID7213309
DL_mean,-14.35718537,GID7310203
DL_mean,-3.574629224,GID7310216
DL_mean,-5.725854048,GID7310251
DL_mean,-10.44967666,GID7310279
